,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,Points
426,8481522.0,Peyton Krebs,C,BUF,22,80.0,4.0,13.0,17.0
427,8478859.0,Niko Mikkola,D,FLA,27,82.0,3.0,14.0,17.0
428,8479324.0,Ryan Lindgren,D,NYR,25,76.0,3.0,14.0,17.0
429,8470600.0,Ryan Suter,D,DAL,38,82.0,2.0,15.0,17.0
430,8479976.0,Juuso Valimaki,D,ARI,25,68.0,2.0,15.0,17.0
431,8481605.0,Jackson LaCombe,D,ANA,22,71.0,2.0,15.0,17.0
432,8480884.0,Calen Addison,D,SJS,23,72.0,1.0,16.0,17.0
433,8475842.0,Sam Carrick,C,ANA,31,77.0,10.0,6.0,16.0
434,8473453.0,Trevor Lewis,C,LAK,36,82.0,8.0,8.0,16.0
435,8479977.0,Kailer Yamamoto,R,SEA,25,59.0,8.0,8.0,16.0
436,8480205.0,Emil Bemstrom,R,CBJ,24,56.0,8.0,8.0,16.0
437,8477444.0,Andre Burakovsky,L,SEA,28,49.0,7.0,9.0,16.0
438,8479293.0,Brandon Tanev,L,SEA,32,66.0,7.0,9.0,16.0
439,8475208.0,Brian Dumoulin,D,SEA,32,80.0,6.0,10.0,16.0
440,8477979.0,Nicolas Aube-Kubel,R,WSH,27,60.0,6.0,10.0,16.0
441,8482660.0,Kent Johnson,C,CBJ,21,42.0,6.0,10.0,16.0
442,8476462.0,Dougie Hamilton,D,NJD,30,20.0,5.0,11.0,16.0
443,8482117.0,Lukas Reichel,L,CHI,21,65.0,5.0,11.0,16.0
444,8474034.0,Pat Maroon,L,MIN,35,51.0,4.0,12.0,16.0
445,8471677.0,Jack Johnson,D,COL,36,80.0,3.0,13.0,16.0
446,8476967.0,Brett Kulak,D,EDM,29,82.0,3.0,13.0,16.0
447,8480796.0,Martin Fehervary,D,WSH,24,66.0,3.0,13.0,16.0
448,8481568.0,Alex Vlasic,D,CHI,22,76.0,2.0,14.0,16.0
449,8476917.0,Adam Pelech,D,NYI,29,58.0,1.0,15.0,16.0
450,8470604.0,Jeff Carter,C,PIT,38,72.0,11.0,4.0,15.0
451,8477330.0,Dominik Kubalik,L,OTT,28,74.0,11.0,4.0,15.0
452,8478831.0,Kevin Stenlund,C,FLA,27,81.0,11.0,4.0,15.0
453,8479423.0,Alex Nylander,L,PIT,25,28.0,11.0,4.0,15.0
454,8476393.0,Nick Cousins,C,FLA,30,69.0,7.0,8.0,15.0
455,8476873.0,Mark Jankowski,C,NSH,29,32.0,7.0,8.0,15.0
456,8478109.0,Victor Olofsson,L,BUF,28,51.0,7.0,8.0,15.0
457,8481481.0,Blake Lizotte,C,LAK,26,62.0,7.0,8.0,15.0
458,8481560.0,Arthur Kaliyev,R,LAK,22,51.0,7.0,8.0,15.0
459,8478042.0,Viktor Arvidsson,R,LAK,30,18.0,6.0,9.0,15.0
460,8481533.0,Trevor Zegras,C,ANA,22,31.0,6.0,9.0,15.0
461,8474090.0,Brendan Smith,D,NJD,34,63.0,5.0,10.0,15.0
462,8477919.0,Frederick Gaudreau,C,MIN,30,67.0,5.0,10.0,15.0
463,8479368.0,Max Jones,L,ANA,25,52.0,5.0,10.0,15.0
464,8477839.0,Conor Sheary,L,TBL,31,57.0,4.0,11.0,15.0
465,8476467.0,Jamie Oleksiak,D,SEA,31,82.0,2.0,13.0,15.0
466,8475197.0,Tyson Barrie,D,NSH,32,41.0,1.0,14.0,15.0
467,8476878.0,Zemgus Girgensons,L,BUF,29,63.0,8.0,6.0,14.0
468,8480011.0,Klim Kostin,C,DET,24,52.0,8.0,6.0,14.0
469,8479661.0,Tanner Jeannot,L,TBL,26,55.0,7.0,7.0,14.0
470,8478468.0,Jeremy Lauzon,D,NSH,26,79.0,6.0,8.0,14.0
471,8480003.0,Jesper Boqvist,C,BOS,25,47.0,6.0,8.0,14.0
472,8477070.0,Liam O'Brien,C,ARI,29,75.0,5.0,9.0,14.0
473,8479390.0,Taylor Raddysh,R,CHI,25,73.0,5.0,9.0,14.0
474,8477392.0,Hudson Fasching,R,NYI,28,45.0,4.0,10.0,14.0
475,8478443.0,Brandon Carlo,D,BOS,27,76.0,4.0,10.0,14.0
476,8480879.0,Jacob Bernard-Docker,D,OTT,23,72.0,4.0,10.0,14.0
477,8474567.0,Zach Bogosian,D,MIN,33,65.0,3.0,11.0,14.0
478,8477435.0,Ryan Graves,D,PIT,28,70.0,3.0,11.0,14.0
479,8480887.0,Jordan Harris,D,MTL,23,56.0,3.0,11.0,14.0
480,8477220.0,Nate Schmidt,D,WPG,32,63.0,2.0,12.0,14.0
481,8480727.0,Zach Whitecloud,D,VGK,27,61.0,2.0,12.0,14.0
482,8475324.0,Nick Jensen,D,WSH,33,78.0,1.0,13.0,14.0
483,8480001.0,Urho Vaakanainen,D,ANA,24,68.0,1.0,13.0,14.0
484,8477845.0,Trevor van Riemsdyk,D,WSH,32,70.0,0.0,14.0,14.0
485,8477573.0,Nathan Walker,L,STL,29,45.0,7.0,6.0,13.0
486,8479383.0,Boris Katchouk,L,CHI,25,59.0,7.0,6.0,13.0
487,8482111.0,Justin Barron,D,MTL,22,48.0,7.0,6.0,13.0
488,8479996.0,Cody Glass,C,NSH,24,41.0,6.0,7.0,13.0
489,8480192.0,Johnathan Kovacevic,D,MTL,26,62.0,6.0,7.0,13.0
490,8476871.0,Tanner Pearson,L,MTL,31,54.0,5.0,8.0,13.0
491,8479520.0,Brandon Duhaime,R,MIN,26,80.0,5.0,8.0,13.0
492,8481477.0,Nico Sturm,C,SJS,28,63.0,5.0,8.0,13.0
493,8479402.0,Jake Bean,D,CBJ,25,72.0,4.0,9.0,13.0
494,8482222.0,Alexander Barabanov,L,SJS,29,46.0,4.0,9.0,13.0
495,8477488.0,Brett Pesce,D,CAR,29,70.0,3.0,10.0,13.0
496,8479371.0,Dante Fabbro,D,NSH,25,56.0,3.0,10.0,13.0
497,8478416.0,Erik Cernak,D,TBL,26,69.0,2.0,11.0,13.0
498,8476372.0,Nick Seeler,D,PHI,30,71.0,1.0,12.0,13.0
499,8476278.0,Colin Blackwell,C,CHI,30,44.0,8.0,4.0,12.0
